human,mouse
PDE10A,Pde10a
ZNF8,Zfp128
EPB41L2,Epb41l2
OGFOD3,Ogfod3
MCRIP2,Fam195a
FBXL19,Fbxl19
CNOT10,Cnot10
ABCG5,Abcg5
ATP7B,Atp7b
GPNMB,Gpnmb
TRIM41,Trim41
DAB2,Dab2
AMIGO3,Amigo3
KRT5,Krt5
APEH,Apeh
RIOK1,Riok1
CDC40,Cdc40
NOS1AP,Nos1ap
IGKV2D-30,Igkv1-35
IGKV2D-30,Igkv1-135
IGKV2D-30,Igkv1-132
IGKV2D-30,Igkv1-131
IGKV2D-30,Igkv1-133
TKFC,Tkfc
EAPP,Eapp
CLK2,Clk2
F2RL1,F2rl1
ORAI3,Orai3
GTF3C4,Gtf3c4
PRSS21,Prss21
S100Z,S100z
SH3TC2,Sh3tc2
PPAN-P2RY11,Ppan
C1orf226,Gm7694
LAP3,Lap3
ATP6V0E2,Atp6v0e2
SPATA46,Spata46
GPALPP1,Gpalpp1
METTL24,Mettl24
ZNF382,Zfp382
FGFR4,Fgfr4
MAN1A1,Man1a
DMBT1,Dmbt1
UCHL3,Uchl3
UCHL3,Uchl4
SNX6,Snx6
PKLR,Pklr
FAM134C,Fam134c
NUFIP1,Nufip1
TUSC2,Tusc2
TUBE1,Tube1
DNAH8,Dnah8
MFSD11,Mfsd11
FKBP6,Fkbp6
IGKV2D-29,Igkv2-109
IGKV2D-29,Gm20730
IGKV2D-29,Igkv2-112
IGKV2D-29,Igkv2-137
AMIGO2,Amigo2
CYB561A3,Cyb561a3
HYAL2,Hyal2
STAG2,Stag2
IGKV2D-26,Igkv1-117
IGKV2D-26,Igkv1-88
IGKV2D-26,Igkv1-110
IGKV2D-26,Igkv1-99
IGKV2D-26,Igkv1-122
FUT11,Fut11
CAGE1,Cage1
C9,C9
ZNF260,Zfp260
RNF6,Rnf6
HCN3,Hcn3
PCED1B,Pced1b
KCNQ2,Kcnq2
PSMB7,Psmb7
CAPZA1,4933400A11Rik
SPOCK1,Spock1
SEC24C,Sec24c
CMA1,Cma1
TUBG1,Tubg1
LYZL2,Lyzl1
GSDMC,Gsdmc4
GSDMC,Gsdmc2
GSDMC,Gsdmc3
GSDMC,Gsdmc
ST8SIA6,St8sia6
FAM229B,Fam229b
RNF8,Gm28043
RNF8,Rnf8
PLA1A,Pla1a
UBTFL1,Ubtfl1
IGKV2D-24,Igkv1-35
IGKV2D-24,Igkv1-135
IGKV2D-24,Igkv1-132
IGKV2D-24,Igkv1-131
IGKV2D-24,Igkv1-133
CSF2,Csf2
WAPL,Wapl
FAM160B2,Fam160b2
WISP3,Wisp3
NUSAP1,Nusap1
DHX57,Dhx57
SS18L2,Ss18l2
NAALAD2,Naalad2
ALS2CR11,Als2cr11
EYA3,Eya3
BACH2,Bach2
ABCG8,Abcg8
TMEM19,Tmem19
ROM1,Rom1
NKTR,Nktr
AGL,Agl
WDR18,Wdr18
TMEM138,Tmem138
EML3,Eml3
MAPK10,Mapk10
PEX26,Pex26
FZD9,Fzd9
MID1,Mid1
ZFC3H1,Zfc3h1
PLK2,Plk2
DNMT3L,Dnmt3l
SRSF2,Srsf2
TEX36,Tex36
AMELY,Amelx
LEAP2,Leap2
XPOT,Xpot
SSR1,Ssr1
MEGF9,Megf9
RAP1B,Rap1b
DDB1,Ddb1
NMRK2,Nmrk2
METTL23,Mettl23
TUBA8,Tuba8
AHRR,Ahrr
YEATS4,Yeats4
TRAF2,Traf2
C19orf57,4930432K21Rik
CLEC11A,Clec11a
THAP2,Thap2
MYO6,Myo6
CYP4F12,Cyp4f15
CYP4F12,Cyp4f40
CYP4F12,Cyp4f14
CTSG,Ctsg
CC2D1A,Cc2d1a
ZBTB47,Zfp651
IRF8,Irf8
CHORDC1,Chordc1
BTF3,Btf3
ANP32E,Anp32e
SEC22C,Sec22c
HEXIM2,Hexim2
FGL2,Fgl2
GTF2F2,Gtf2f2
PDCD6,Pdcd6
PIKFYVE,Pikfyve
ANKRD13B,Ankrd13b
ZBTB17,Zbtb17
ADGRL3,Adgrl3
GSAP,Gsap
KCTD4,Kctd4
NFX1,Nfx1
HEXIM1,Hexim1
CYSLTR1,Cysltr1
LSM10,Lsm10
CSNK1G1,Csnk1g1
POU6F2,Pou6f2
IGKV6D-21,Igkv5-45
IGKV6D-21,Igkv5-48
IGKV6D-21,Igkv5-39
IGKV6D-21,Igkv5-43
AVP,Avp
FAM49B,Fam49b
DNAJC28,Dnajc28
IKBKB,Ikbkb
TBL1Y,Tbl1x
USP47,Usp47
SLC15A1,Slc15a1
IRS2,Irs2
IGKV3D-20,Igkv18-36
CREB3L2,Creb3l2
GPSM1,Gpsm1
IGKV6D-41,Igkv5-45
IGKV6D-41,Igkv5-48
IGKV6D-41,Igkv5-39
IGKV6D-41,Igkv5-43
IGKV3D-15,Igkv18-36
MYH9,Myh9
SKOR1,Skor1
NSRP1,Nsrp1
SELENOO,Selenoo
FASTKD5,Fastkd5
HACD1,Hacd1
UBOX5,Ubox5
LRPPRC,Lrpprc
ATAD2B,Atad2b
TCF12,Tcf12
ALOX15B,Alox8
CCDC146,Ccdc146
MLLT1,Mllt1
ZCCHC5,Zcchc5
BBS2,Bbs2
ACPT,Acpt
EDRF1,Edrf1
CARD9,Card9
LPAR4,Lpar4
ANKRD29,Ankrd29
P2RY10,P2ry10
GPR174,Gpr174
MFAP1,Mfap1a
MFAP1,Mfap1b
DTL,Dtl
ARFIP2,Arfip2
DNLZ,Dnlz
HTRA4,Htra4
TRAC,Trac
PGLYRP4,Pglyrp4
CORO6,Coro6
TMEM243,Tmem243
FCAMR,Fcamr
ZNF438,Zfp438
BAZ1B,Baz1b
MYO9B,Myo9b
LZTS3,Lzts3
DYNLRB1,Dynlrb1
COL6A2,Col6a2
KRT71,Krt71
N4BP2,N4bp2
ARFGEF2,Arfgef2
FAT3,Fat3
OGFOD1,Ogfod1
MED28,Med28
MAP3K10,Map3k10
KIF5A,Kif5a
LILRA5,Lilra5
BPTF,Bptf
INTS7,Ints7
FERMT2,Fermt2
DMTF1,Dmtf1
DMTF1,4932411N23Rik
CRYM,Crym
CRHBP,Crhbp
FAM184B,Fam184b
WDR46,Wdr46
MRPL42,Mrpl42
MAPK8,Mapk8
GZMB,Gzmd
GZMB,Gzmn
GZMB,Gzmc
GZMB,Gzme
GZMB,Gzmb
GZMB,Gzmf
GZMB,Gzmg
SH2D1B,Sh2d1b2
SH2D1B,Sh2d1b1
DNHD1,Dnhd1
OPN4,Opn4
LILRA4,Lilra5
ITM2A,Itm2a
MRGPRX1,Mrgprx2
MRGPRX1,Mrgprx1
MRGPRX1,Mrgprb3
MRGPRX1,Mrgprb4
MRGPRX1,Mrgprb8
MRGPRX1,Mrgprb5
MRGPRX1,Mrgprb2
MRGPRX1,Mrgprb1
UGCG,Ugcg
MTNR1B,Mtnr1b
TPT1,Tpt1
NUDT18,Nudt18
S100A9,S100a9
CDYL2,Cdyl2
ANKS4B,Anks4b
ZNF625-ZNF20,B230307C23Rik
ZNF625-ZNF20,Gm14288
ZNF625-ZNF20,Gm10479
ZNF625-ZNF20,2410141K09Rik
ZNF625-ZNF20,2610044O15Rik8
ZNF625-ZNF20,6720489N17Rik
ZNF625-ZNF20,3300002I08Rik
ZNF625-ZNF20,Gm10130
ZNF625-ZNF20,Gm14327
ZNF625-ZNF20,Gm14295
ZNF625-ZNF20,Gm14440
ZNF625-ZNF20,9030624G23Rik
ZNF625-ZNF20,Gm14435
MRGPRX2,Mrgprx2
MRGPRX2,Mrgprx1
MRGPRX2,Mrgprb3
MRGPRX2,Mrgprb4
MRGPRX2,Mrgprb8
MRGPRX2,Mrgprb5
MRGPRX2,Mrgprb2
MRGPRX2,Mrgprb1
NUDT21,Nudt21
MADD,Madd
CNBP,Cnbp
ATG10,Atg10
GAS2L1,Gas2l1
PFDN6,Pfdn6
SPOCK3,Spock3
UHMK1,Uhmk1
SLC36A4,Slc36a4
TTC3,Ttc3
ABHD15,Abhd15
NR2E3,Nr2e3
TRIM62,Trim62
OR4F29,Olfr1303
S100A8,S100a8
KRT74,Krt74
EFCAB5,Efcab5
CSGALNACT2,Csgalnact2
SDSL,Sdsl
ACER1,Acer1
TIMM10B,Gm45799
TIMM10B,Timm10b
B3GALT4,B3galt4
RGL2,Rgl2
MALSU1,Malsu1
KRT72,Krt72
ARAP3,Arap3
RPS23,Rps23
T,T
POPDC2,Popdc2
MXD4,Mxd4
IGF2BP3,Igf2bp3
ZEB1,Zeb1
ATOH8,Atoh8
STARD10,Stard10
RTN4RL1,Rtn4rl1
SLC25A30,Slc25a30
SDS,Sds
KRT73,Krt73
DEUP1,Deup1
DDRGK1,Ddrgk1
COX17,Cox17
COX17,Gm21987
SLC11A1,Slc11a1
ERGIC3,Ergic3
IGKV3D-11,Igkv18-36
PGD,Pgd
TUBGCP6,Tubgcp6
LRRC61,Lrrc61
OSCP1,Oscp1
PCLAF,Pclaf
ZCCHC2,Zcchc2
ZG16B,Sbp
ZG16B,Sbpl
FBXW5,Fbxw5
AGGF1,Aggf1
BRI3,Bri3
UAP1,Uap1
MAP3K7,Map3k7
CLN6,Cln6
TBX22,Tbx22
RARRES2,Rarres2
BAIAP2L1,Baiap2l1
AIRE,Aire
NSD1,Nsd1
TTC9B,Ttc9b
CAPN6,Capn6
GIT1,Git1
SLC37A3,Slc37a3
MYCL,Mycl
RASGEF1A,Rasgef1a
BCL7B,Bcl7b
ZFAND2B,Zfand2b
C1orf116,AA986860
DAD1,Dad1
KANSL1L,Kansl1l
PAPOLG,Papolg
USP42,Usp42
MICALL1,Micall1
WDR76,Wdr76
FAM46D,Fam46d
CAPN11,Capn11
IL15,Il15
ZNF280D,Zfp280d
NARF,Narf
SLC25A3,Slc25a3
SMIM11B,Smim11
STAM,Stam
ARAP1,Arap1
DAPK3,Dapk3
GOLGA8Q,Golga2
ITGB3BP,Itgb3bp
RORC,Rorc
TBC1D2,Tbc1d2
ZDHHC13,Zdhhc13
CKAP5,Ckap5
PDP2,Pdp2
SHANK2,Shank2
PIAS1,Pias1
PTAFR,Ptafr
GPD2,Gpd2
PODN,Podn
HIST1H2AE,Hist1h2ad
HIST1H2AE,Hist1h2ab
TAF4,Taf4
AKR1D1,Akr1d1
ICE1,Ice1
CA14,Car14
ABHD4,Abhd4
KLHL3,Klhl3
LINGO4,Lingo4
CUX1,Cux1
ZBED3,Zbed3
ZFYVE28,Zfyve28
PRR18,Prr18
COL4A1,Col4a1
CDK8,Cdk8
UBXN2A,Ubxn2a
IMPG2,Impg2
GALNT14,Galnt14
PUS7,Pus7
RUSC2,Rusc2
MBOAT7,Mboat7
HR,Hr
CALML4,Calml4
GPHB5,Gphb5
WDR90,Wdr90
RPE,Rpe
CCDC33,Ccdc33
TUBG2,Tubg2
PGM1,Pgm2
RAB19,Rab19
UTP15,Utp15
FAM166B,Fam166b
RPH3A,Rph3a
HMX1,Hmx1
SSH2,Ssh2
RASL10A,Rasl10a
ZNF362,Zfp362
USF2,Usf2
AP2S1,Ap2s1
FAM193B,Fam193b
CACNA1S,Cacna1s
OPTC,Optc
ATP2B2,Atp2b2
EFCAB7,Efcab7
PIP4K2C,Pip4k2c
TEX13D,Tex13c2
FAM129A,Fam129a
TENM1,Tenm1
PHLPP1,Phlpp1
MAP1LC3A,Map1lc3a
PITHD1,Pithd1
CMTR1,Cmtr1
LHX5,Lhx5
KCNMB2,Kcnmb2
TP53I13,Trp53i13
STRA6,Stra6
AFAP1L1,Afap1l1
COL4A2,Col4a2
HIST1H1D,Hist1h1d
ANKRA2,Ankra2
PHB,Phb
IFNB1,Ifnb1
LDHAL6B,Ldhal6b
KCNE1B,Kcne1
EVC2,Evc2
DEFB130,Defb47
MYO1E,Myo1e
HIST1H3F,Hist1h3h
LIN52,Lin52
ANKRD13D,Ankrd13d
SAMD13,Samd13
SH2D1A,Sh2d1a
HIST1H3G,Hist1h3h
ABLIM3,Ablim3
GABRG1,Gabrg1
ATMIN,Atmin
NDUFA10,Ndufa10
SMCO4,Smco4
CKM,Ckm
GAPT,Gapt
C16orf46,1700030J22Rik
FBXW2,Fbxw2
MYO15B,Myo15b
ZFHX3,Zfhx3
UBE2E3,Ube2e3
CLPP,Clpp
ANKRD28,Ankrd28
HIST1H4H,Hist1h4j
CENPN,Cenpn
FAM81A,Fam81a
ZPBP,Zpbp
CDR2,Cdr2
IL11,Il11
PPM1B,Ppm1b
ODF3,Odf3
RPAP3,Rpap3
DCX,Dcx
CDC27,Cdc27
SLC1A7,Slc1a7
TFDP1,Tfdp1
TMEM154,Tmem154
BET1L,Gm45785
BET1L,Bet1l
EIF4G3,Eif4g3
RASSF1,Rassf1
CCNB2,Ccnb2
MBD1,Mbd1
VWC2,Vwc2
NCAPG,Ncapg
SFT2D1,Gm12166
SFT2D1,Sft2d1
C7orf72,4930415F15Rik
ATP2B4,Atp2b4
FUK,Fuk
PDLIM4,Pdlim4
TIGD4,Tigd4
ZNF236,Zfp236
USP18,Usp18
SCGB1C1,Scgb1c1
THRA,Thra
C2CD4D,C2cd4d
RNF207,Rnf207
AFF4,Aff4
KCNV1,Kcnv1
LCORL,Lcorl
THEM5,Them5
SLC11A2,Slc11a2
CMC2,Cmc2
SLC22A4,Slc22a4
FBXO33,Fbxo33
PHC2,Phc2
AK8,Ak8
RPL22,Rpl22
C1orf64,Gm694
DTWD2,Dtwd2
OXR1,Oxr1
TMEM237,Tmem237
EXO1,Exo1
P4HA2,P4ha2
ALOX12B,Alox12b
IFNA21,Ifna14
IFNA21,Ifna11
IFNA21,Ifna9
IFNA21,Ifna2
IFNA21,Ifna5
IFNA21,Ifna15
IFNA21,Ifna16
IFNA21,Ifnab
IFNA21,Ifna6
IFNA21,Ifna1
IFNA21,Ifna7
IFNA21,Ifna13
IFNA21,Ifna12
IFNA21,Ifna4
CSE1L,Cse1l
SPACA9,Spaca9
IFNA4,Ifna14
IFNA4,Ifna11
IFNA4,Ifna9
IFNA4,Ifna2
IFNA4,Ifna5
IFNA4,Ifna15
IFNA4,Ifna16
IFNA4,Ifnab
IFNA4,Ifna6
IFNA4,Ifna1
IFNA4,Ifna7
IFNA4,Ifna13
IFNA4,Ifna12
IFNA4,Ifna4
PPP2R5E,Ppp2r5e
ZCCHC7,Zcchc7
PSPN,Pspn
ALKBH7,Alkbh7
PPP2R3A,Ppp2r3a
RINT1,Rint1
IFNA14,Ifna14
IFNA14,Ifna11
IFNA14,Ifna9
IFNA14,Ifna2
IFNA14,Ifna5
IFNA14,Ifna15
IFNA14,Ifna16
IFNA14,Ifnab
IFNA14,Ifna6
IFNA14,Ifna1
IFNA14,Ifna7
IFNA14,Ifna13
IFNA14,Ifna12
IFNA14,Ifna4
IFNA10,Ifna14
IFNA10,Ifna11
IFNA10,Ifna9
IFNA10,Ifna2
IFNA10,Ifna5
IFNA10,Ifna15
IFNA10,Ifna16
IFNA10,Ifnab
IFNA10,Ifna6
IFNA10,Ifna1
IFNA10,Ifna7
IFNA10,Ifna13
IFNA10,Ifna12
IFNA10,Ifna4
IFNA16,Ifna14
IFNA16,Ifna11
IFNA16,Ifna9
IFNA16,Ifna2
IFNA16,Ifna5
IFNA16,Ifna15
IFNA16,Ifna16
IFNA16,Ifnab
IFNA16,Ifna6
IFNA16,Ifna1
IFNA16,Ifna7
IFNA16,Ifna13
IFNA16,Ifna12
IFNA16,Ifna4
IFNA7,Ifna14
IFNA7,Ifna11
IFNA7,Ifna9
IFNA7,Ifna2
IFNA7,Ifna5
IFNA7,Ifna15
IFNA7,Ifna16
IFNA7,Ifnab
IFNA7,Ifna6
IFNA7,Ifna1
IFNA7,Ifna7
IFNA7,Ifna13
IFNA7,Ifna12
IFNA7,Ifna4
BACH1,Bach1
PURA,Pura
IFNA17,Ifna14
IFNA17,Ifna11
IFNA17,Ifna9
IFNA17,Ifna2
IFNA17,Ifna5
IFNA17,Ifna15
IFNA17,Ifna16
IFNA17,Ifnab
IFNA17,Ifna6
IFNA17,Ifna1
IFNA17,Ifna7
IFNA17,Ifna13
IFNA17,Ifna12
IFNA17,Ifna4
ATP4B,Atp4b
SLC4A3,Slc4a3
NR1D1,Nr1d1
IFNA5,Ifna14
IFNA5,Ifna11
IFNA5,Ifna9
IFNA5,Ifna2
IFNA5,Ifna5
IFNA5,Ifna15
IFNA5,Ifna16
IFNA5,Ifnab
IFNA5,Ifna6
IFNA5,Ifna1
IFNA5,Ifna7
IFNA5,Ifna13
IFNA5,Ifna12
IFNA5,Ifna4
TMEM190,Tmem190
A3GALT2,A3galt2
KLHL9,Klhl9
SOX10,Sox10
AP1B1,Ap1b1
IFNA6,Ifna14
IFNA6,Ifna11
IFNA6,Ifna9
IFNA6,Ifna2
IFNA6,Ifna5
IFNA6,Ifna15
IFNA6,Ifna16
IFNA6,Ifnab
IFNA6,Ifna6
IFNA6,Ifna1
IFNA6,Ifna7
IFNA6,Ifna13
IFNA6,Ifna12
IFNA6,Ifna4
EFCAB10,Efcab10
FOXD4L5,Foxd4
IFNA13,Ifna14
IFNA13,Ifna11
IFNA13,Ifna9
IFNA13,Ifna2
IFNA13,Ifna5
IFNA13,Ifna15
IFNA13,Ifna16
IFNA13,Ifnab
IFNA13,Ifna6
IFNA13,Ifna1
IFNA13,Ifna7
IFNA13,Ifna13
IFNA13,Ifna12
IFNA13,Ifna4
MED24,Med24
IFNA2,Ifna14
IFNA2,Ifna11
IFNA2,Ifna9
IFNA2,Ifna2
IFNA2,Ifna5
IFNA2,Ifna15
IFNA2,Ifna16
IFNA2,Ifnab
IFNA2,Ifna6
IFNA2,Ifna1
IFNA2,Ifna7
IFNA2,Ifna13
IFNA2,Ifna12
IFNA2,Ifna4
GCSH,Gcsh
C22orf23,1700088E04Rik
TMEM238,Tmem238
CFL2,Cfl2
GRIK1,Grik1
CCDC167,Ccdc167
KLK1,Klk1
KLK1,Klk1b26
KLK1,Klk1b3
KLK1,Klk1b8
KLK1,Klk1b4
KLK1,Klk1b11
KLK1,Klk1b27
KLK1,Klk1b9
KLK1,Klk1b22
KLK1,Klk1b24
KLK1,Klk1b1
KLK1,Klk1b16
KLK1,Klk1b5
KLK1,Klk1b21
TM2D2,Tm2d2
ERCC2,Ercc2
RACK1,Rack1
B3GAT3,B3gat3
AIM1,Aim1
ICMT,Icmt
SUSD1,Susd1
C8G,C8g
NCOA6,Ncoa6
RAB3C,Rab3c
CHADL,Chadl
HSPB7,Hspb7
POLR2F,Polr2f
TAF1D,Taf1d
HOOK2,Hook2
CDH16,Cdh16
MAP2K6,Map2k6
OVCA2,Ovca2
PSG3,Ceacam1
PSG3,Ceacam2
L3MBTL2,L3mbtl2
DPH1,Dph1
RTN4IP1,Rtn4ip1
UBXN4,Ubxn4
KRT2,Krt2
SENP8,Senp8
SYT8,Syt8
CLCNKA,Clcnkb
CLCNKA,Clcnka
IKBIP,Ikbip
MYO9A,Myo9a
PLEKHH3,Plekhh3
AGPAT5,Agpat5
SLC22A5,Slc22a5
SLC22A5,Slc22a21
ATP6AP1L,Atp6ap1l
PPP2CB,Ppp2cb
NPTX2,Nptx2
INMT-MINDY4,Inmt
ABLIM1,Ablim1
TP53INP2,Trp53inp2
HSD3B7,Hsd3b7
SCML2,Scml2
IL17A,Il17a
PPP2R5A,Ppp2r5a
INMT,Inmt
SLC39A8,Slc39a8
VSX2,Vsx2
FAM86B2,Eef2kmt
IGKV3D-7,Igkv18-36
THEM4,Them4
KRT1,Krt1
PIGU,Pigu
AQP1,Aqp1
DENND3,Dennd3
TMED9,Tmed9
KLC3,Klc3
IL17F,Il17f
LRRTM4,Lrrtm4
DDO,Ddo
TBC1D32,Tbc1d32
IFT172,Ift172
SPATA32,Spata32
SETD1A,RP23-325D10.3
SETD1A,Setd1a
IGIP,Igip
SMPD3,Smpd3
MINDY4,Fam188b
PARVG,Parvg
SPTLC1,Sptlc1
GRK1,Grk1
XKR5,Xkr5
ITPA,Itpa
ARHGAP35,Arhgap35
FMNL1,Fmnl1
LAX1,Lax1
JUNB,Junb
DEFB1,Defb1
TSEN34,Tsen34
CRHR2,Crhr2
MAST1,Mast1
LGI1,Lgi1
TOMM20L,Tomm20l
C11orf54,4931406C07Rik
DYSF,Dysf
RHOH,Rhoh
RARB,Rarb
GPATCH8,Gpatch8
KRT77,Krt77
C17orf58,1810010H24Rik
LCN12,Lcn12
KIAA0586,2700049A03Rik
KAT14,Csrp2bp
PRMT7,Prmt7
ALOXE3,Aloxe3
DMXL1,Dmxl1
TSPAN18,Tspan18
CYTH3,Cyth3
RBM19,Rbm19
WASF3,Wasf3
FAM90A26,Fam90a1b
FAM90A26,Fam90a1a
RNASEH2A,Rnaseh2a
MPC1,Mpc1
USP17L10,Usp17ld
USP17L10,Usp17lb
USP17L10,Usp17la
USP17L10,Usp17le
USP17L10,Usp17lc
LYPLA1,Lypla1
HNRNPA0,Hnrnpa0
KIAA2013,2510039O18Rik
PITPNM2,Pitpnm2
PET117,Pet117
DTYMK,Dtymk
RTBDN,Rtbdn
SCRN3,Scrn3
LCT,Lct
HES7,Hes7
DDHD1,Ddhd1
TMEM130,Tmem130
FOXF1,Foxf1
CNKSR1,Cnksr1
BRWD3,Brwd3
TP53I11,Trp53i11
SEMA6D,Sema6d
MAP7,Map7
YAE1D1,Yae1d1
PFKL,Pfkl
YOD1,Yod1
MAP3K14,Map3k14
ACTN2,Actn2
TOP2B,Top2b
PFKFB2,Gm29427
PFKFB2,Pfkfb2
APH1A,Aph1a
NPAS1,Npas1
RTCB,Rtcb
ATP5O,Atp5o
TUBA1B,Tuba1b
OR4N4,Olfr733
OR4N4,Olfr732
PODNL1,Podnl1
MIS12,Mis12
MAATS1,Maats1
OR4M2,Olfr734
LDB3,Ldb3
OR4F16,Olfr1303
OR4C13,Olfr1258
HTR5A,Htr5a
DERL2,Derl2
OR4C12,Olfr1255
OR4C12,Olfr1259
LSM14B,Lsm14b
NR5A1,Nr5a1
PRDX2,Prdx2
PRDX2,Gm5225
REPIN1,Repin1
DKK3,Dkk3
DTX3,Dtx3
BECN2,Gm38100
BCL2,Bcl2
DCAF15,Dcaf15
COPG1,Copg1
ARFIP1,Gm37240
ARFIP1,Arfip1
RBM38,Rbm38
SENP7,Senp7
FRS2,Frs2
ARHGAP11B,Arhgap11a
B4GALT7,B4galt7
ZNF804B,Zfp804b
IL2RA,Il2ra
INSIG1,Insig1
RALA,Rala
ZNF775,Zfp775
C7orf62,4921511H03Rik
SCG3,Scg3
SRSF5,Srsf5
ITSN1,Itsn1
C1orf54,BC028528
KRTCAP3,Krtcap3
DLG1,Dlg1
GIMAP8,Gimap8
MFSD2A,Mfsd2a
PSG8,Ceacam1
PSG8,Ceacam2
ZSCAN22,Zscan22
EXOC3,Exoc3
GOLGA8H,Golga2
GIMAP7,Gimap7
GIMAP7,Gimap9
KPNA2,Gm10184
KPNA2,Kpna2
MED17,Med17
SHE,She
OR10H2,Olfr55
OR10H2,Olfr239
OR10H2,Gm4461
ZNF850,Zfp619
ZNF850,Zfp26
ZNF850,Gm14124
ZNF850,RP24-406I15.3
ZNF850,Zfp788
OR10H3,Olfr63
SLC45A4,Slc45a4
TBK1,Tbk1
STEAP1,Steap1
MYOT,Myot
USP17L11,Usp17ld
USP17L11,Usp17lb
USP17L11,Usp17la
USP17L11,Usp17le
USP17L11,Usp17lc
GIMAP4,Gimap4
KCNJ16,Kcnj16
USP17L12,Usp17ld
USP17L12,Usp17lb
USP17L12,Usp17la
USP17L12,Usp17le
USP17L12,Usp17lc
STEAP2,Steap2
MFSD2B,Mfsd2b
SOCS2,Gm9847
SOCS2,Socs2
GIMAP6,Gimap6
USP17L13,Usp17ld
USP17L13,Usp17lb
USP17L13,Usp17la
USP17L13,Usp17le
USP17L13,Usp17lc
FKBP1B,Fkbp1b
ANKRD23,Gm42417
ANKRD23,Ankrd23
KLK15,Klk15
FAM13B,Fam13b
REG3G,Reg3b
REG3G,Reg3g
REG3G,Reg3a
NAT10,Nat10
PFDN1,Pfdn1
USP17L15,Usp17ld
USP17L15,Usp17lb
USP17L15,Usp17la
USP17L15,Usp17le
USP17L15,Usp17lc
CAMK2D,Camk2d
RPL28,Rpl28
WDCP,Wdcp
DACT2,Dact2
A1BG,RP23-108H23.1
A1BG,A1bg
USP17L17,Usp17ld
USP17L17,Usp17lb
USP17L17,Usp17la
USP17L17,Usp17le
USP17L17,Usp17lc
BAZ1A,Baz1a
KIAA1644,1810041L15Rik
VPS35,Vps35
CYP26B1,Cyp26b1
USP17L18,Usp17ld
USP17L18,Usp17lb
USP17L18,Usp17la
USP17L18,Usp17le
USP17L18,Usp17lc
ANKRD39,Ankrd39
ANAPC5,Anapc5
MORC2,Morc2b
MORC2,Morc2a
TTC34,Ttc34
TIMM9,Timm9
CYSTM1,Cystm1
MXD3,Mxd3
CHRNA9,Chrna9
USP17L19,Usp17ld
USP17L19,Usp17lb
USP17L19,Usp17la
USP17L19,Usp17le
USP17L19,Usp17lc
PCDH1,Pcdh1
FAM213B,Fam213b
CNNM3,Cnnm3
USP17L20,Usp17ld
USP17L20,Usp17lb
USP17L20,Usp17la
USP17L20,Usp17le
USP17L20,Usp17lc
FAM220A,Fam220a
ATF7,Gm28047
ATF7,Atf7
SSH3,Ssh3
NDUFAF1,Ndufaf1
ZSCAN20,Zscan20
RNF2,Rnf2
QTRT1,Qtrt1
NR6A1,Nr6a1
CYP4F2,Cyp4f15
CYP4F2,Cyp4f40
CYP4F2,Cyp4f14
S100A6,S100a6
LDOC1L,Ldoc1l
GABBR2,Gabbr2
KLK3,Klk1
KLK3,Klk1b26
KLK3,Klk1b3
KLK3,Klk1b8
KLK3,Klk1b4
KLK3,Klk1b11
KLK3,Klk1b27
KLK3,Klk1b9
KLK3,Klk1b22
KLK3,Klk1b24
KLK3,Klk1b1
KLK3,Klk1b16
KLK3,Klk1b5
KLK3,Klk1b21
RAB24,Rab24
RTF1,Rtf1
C12orf65,2810006K23Rik
S100A5,S100a5
PPCDC,Ppcdc
UBR3,Ubr3
FZD2,Fzd2
MCM6,Mcm6
CEP295,Cep295
DDR2,Ddr2
ABCD4,Abcd4
OR10H1,Olfr55
OR10H1,Olfr239
OR10H1,Gm4461
TRPC4,Trpc4
USP17L21,Usp17ld
USP17L21,Usp17lb
USP17L21,Usp17la
USP17L21,Usp17le
USP17L21,Usp17lc
OR10H5,Olfr55
OR10H5,Olfr239
OR10H5,Gm4461
UBE2S,Ube2s
PKD2L2,Pkd2l2
SLC22A16,Slc22a16
MEOX1,Meox1
USP17L22,Usp17ld
USP17L22,Usp17lb
USP17L22,Usp17la
USP17L22,Usp17le
USP17L22,Usp17lc
MPHOSPH9,Mphosph9
MMEL1,Mmel1
CYP4F11,Cyp4f15
CYP4F11,Cyp4f40
CYP4F11,Cyp4f14
USP17L23,Usp17ld
USP17L23,Usp17lb
USP17L23,Usp17la
USP17L23,Usp17le
USP17L23,Usp17lc
SACM1L,Sacm1l
USP17L24,Usp17ld
USP17L24,Usp17lb
USP17L24,Usp17la
USP17L24,Usp17le
USP17L24,Usp17lc
FRMD5,Frmd5
PRSS22,Prss22
TEX15,Tex15
SPIN2B,Gm21719
SPIN2B,Spin2-ps6
SPIN2B,Spin2d
SPIN2B,Gm20773
SPIN2B,Gm21118
SPIN2B,Gm5926
SPIN2B,Gm20772
SPIN2B,Gm21637
SPIN2B,Gm21440
SPIN2B,Gm2854
SPIN2B,Spin2f
SPIN2B,Spin2g
SPIN2B,Gm20831
SPIN2B,Spin2e
SPIN2B,Gm20917
SPIN2B,Gm21943
SPIN2B,Gm20807
SPIN2B,Spin2c
SPIN2B,Gm20815
SPIN2B,Gm20830
SPIN2B,Gm20737
SPIN2B,Gm20909
SPIN2B,Gm20777
SPIN2B,Gm20806
SPIN2B,Gm21310
SPIN2B,Gm21778
